cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
DGWO,1,350,30,1,58.8979,49.3827,81
DGWO,1,350,30,2,60.7190,48.0519,77
DGWO,1,350,30,3,59.6781,52.7027,74
DGWO,1,350,30,4,56.9787,55.0725,69
DGWO,1,350,30,5,61.8759,56.3380,71
DGWO,1,350,30,6,63.2336,48.1928,83
DGWO,1,350,30,7,63.1473,46.9880,83
DGWO,1,350,30,8,61.2503,60.5263,76
DGWO,1,350,30,9,60.3999,48.0000,75
DGWO,1,350,30,10,62.9488,47.0588,85
DGWO,1,350,30,11,65.7685,52.3810,84
DGWO,1,350,30,12,63.3118,49.4253,87
DGWO,1,350,30,13,61.4408,55.1282,78
DGWO,1,350,30,14,59.7823,53.9474,76
DGWO,1,350,30,15,62.0022,51.2821,78
DGWO,1,350,30,16,65.3753,51.8519,81
DGWO,1,350,30,17,62.5939,53.1646,79
DGWO,1,350,30,18,65.4757,44.4444,90
DGWO,1,350,30,19,63.7871,49.4253,87
DGWO,1,350,30,20,61.6312,50.0000,80
DGWO,1,350,30,21,62.6420,51.2195,82
DGWO,1,350,30,22,65.2070,47.6190,84
DGWO,1,350,30,23,66.2658,44.9438,89
DGWO,1,350,30,24,64.6073,47.1264,87
DGWO,1,350,30,25,68.9912,48.9130,92
DGWO,1,350,30,26,64.1180,57.6923,78
DGWO,1,350,30,27,62.3172,61.0390,77
DGWO,1,350,30,28,71.1810,48.3871,93
DGWO,1,350,30,29,66.2918,47.1264,87
DGWO,1,350,30,30,61.3064,62.6667,75
DGWO,1,350,30,31,62.1748,52.5641,78
DGWO,1,350,30,32,64.2825,50.0000,82
DGWO,1,350,30,33,66.5685,51.6854,89
DGWO,1,350,30,34,63.5485,53.6585,82
DGWO,1,350,30,35,64.8741,43.3735,83
DGWO,1,350,30,36,62.4214,54.4304,79
DGWO,1,350,30,37,62.4515,57.5000,80
DGWO,1,350,30,38,63.1855,53.7500,80
DGWO,1,350,30,39,65.5097,47.6190,84
DGWO,1,350,30,40,66.9216,49.4118,85
DGWO,1,350,30,41,67.8762,44.3182,88
DGWO,1,350,30,42,64.1963,47.5610,82
DGWO,1,350,30,43,67.1903,47.2527,91
DGWO,1,350,30,44,68.8748,50.5495,91
DGWO,1,350,30,45,66.5685,47.1910,89
DGWO,1,350,30,46,65.2330,54.8780,82
DGWO,1,350,30,47,68.3133,50.5495,91
DGWO,1,350,30,48,69.4362,46.1538,91
