cfg,seed,instance,iteration,best_su,best_csr,best_placed
DGWO,1,350,1,57.1432,46.5753,73
DGWO,1,350,2,54.5301,50.0000,68
DGWO,1,350,3,61.5671,42.3529,85
DGWO,1,350,4,56.9447,46.6667,75
DGWO,1,350,5,55.0354,44.9275,69
DGWO,1,350,6,62.0423,31.7647,85
DGWO,1,350,7,57.7608,43.0556,72
DGWO,1,350,8,56.1886,51.4286,70
DGWO,1,350,9,55.4626,51.5152,66
DGWO,1,350,10,60.3537,39.0244,82
DGWO,1,350,11,65.0566,35.9551,89
DGWO,1,350,12,58.7975,45.8333,72
DGWO,1,350,13,60.7930,43.5897,78
DGWO,1,350,14,56.4653,50.0000,72
DGWO,1,350,15,57.8169,54.9296,71
DGWO,1,350,16,60.0411,42.1053,76
DGWO,1,350,17,60.5163,48.6842,76
DGWO,1,350,18,55.0354,57.9710,69
DGWO,1,350,19,59.8384,52.0000,75
DGWO,1,350,20,61.5110,43.0233,86
DGWO,1,350,21,62.2450,45.3488,86
DGWO,1,350,22,62.5477,45.3488,86
DGWO,1,350,23,64.2924,43.1818,88
DGWO,1,350,24,64.4428,44.5783,83
DGWO,1,350,25,60.3999,57.3333,75
DGWO,1,350,26,59.5055,52.7027,74
DGWO,1,350,27,65.3112,44.1860,86
DGWO,1,350,28,63.3760,46.3415,82
DGWO,1,350,29,59.8563,50.6494,77
DGWO,1,350,30,58.4647,54.9296,71
DGWO,1,350,31,63.1252,57.6923,78
DGWO,1,350,32,63.8333,52.5000,80
DGWO,1,350,33,66.0532,46.3415,82
DGWO,1,350,34,65.0826,42.5287,87
DGWO,1,350,35,65.7204,46.9136,81
DGWO,1,350,36,63.3539,63.6364,77
DGWO,1,350,37,63.7730,56.4103,78
DGWO,1,350,38,67.1502,44.0476,84
DGWO,1,350,39,67.2926,50.6024,83
DGWO,1,350,40,66.5685,39.3258,89
DGWO,1,350,41,64.7879,49.3976,83
DGWO,1,350,42,65.7425,40.6977,86
DGWO,1,350,43,64.6795,47.4359,78
DGWO,1,350,44,66.2819,44.4444,81
DGWO,1,350,45,64.4509,51.8987,79
DGWO,1,350,46,62.3652,57.5000,80
DGWO,1,350,47,63.3539,53.2468,77
DGWO,1,350,48,64.5070,55.1282,78
DGWO,1,350,49,67.0640,58.3333,84
DGWO,1,350,50,65.5479,51.8519,81
DGWO,1,350,51,66.3681,43.2099,81
DGWO,1,350,52,65.9109,50.6024,83
DGWO,1,350,53,66.5987,44.4444,90
DGWO,1,350,54,65.6902,51.2500,80
DGWO,1,350,55,64.7276,51.8519,81
DGWO,1,350,56,67.1602,42.2222,90
DGWO,1,350,57,68.8748,42.8571,91
