cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
MOGWO,1,350,30,1,52.9197,62.3188,69
MOGWO,1,350,30,2,52.9197,62.3188,69
MOGWO,1,350,30,3,49.5848,71.4286,63
MOGWO,1,350,30,4,49.5848,71.4286,63
MOGWO,1,350,30,5,49.5848,71.4286,63
MOGWO,1,350,30,6,49.5848,71.4286,63
MOGWO,1,350,30,7,49.5848,71.4286,63
MOGWO,1,350,30,8,49.5848,71.4286,63
MOGWO,1,350,30,9,49.5848,71.4286,63
MOGWO,1,350,30,10,49.5848,71.4286,63
MOGWO,1,350,30,11,49.5848,71.4286,63
MOGWO,1,350,30,12,49.5848,71.4286,63
MOGWO,1,350,30,13,49.5848,71.4286,63
MOGWO,1,350,30,14,49.5848,71.4286,63
MOGWO,1,350,30,15,49.5848,71.4286,63
MOGWO,1,350,30,16,49.5848,71.4286,63
MOGWO,1,350,30,17,49.5848,71.4286,63
MOGWO,1,350,30,18,49.5848,71.4286,63
MOGWO,1,350,30,19,49.5848,71.4286,63
MOGWO,1,350,30,20,49.5848,71.4286,63
MOGWO,1,350,30,21,49.5848,71.4286,63
MOGWO,1,350,30,22,49.5848,71.4286,63
MOGWO,1,350,30,23,49.5848,71.4286,63
MOGWO,1,350,30,24,49.5848,71.4286,63
MOGWO,1,350,30,25,49.5848,71.4286,63
MOGWO,1,350,30,26,49.5848,71.4286,63
MOGWO,1,350,30,27,49.5848,71.4286,63
MOGWO,1,350,30,28,49.5848,71.4286,63
MOGWO,1,350,30,29,49.5848,71.4286,63
MOGWO,1,350,30,30,49.5848,71.4286,63
MOGWO,1,350,30,31,49.5848,71.4286,63
MOGWO,1,350,30,32,49.5848,71.4286,63
MOGWO,1,350,30,33,49.5848,71.4286,63
MOGWO,1,350,30,34,49.5848,71.4286,63
MOGWO,1,350,30,35,49.5848,71.4286,63
MOGWO,1,350,30,36,49.5848,71.4286,63
MOGWO,1,350,30,37,49.5848,71.4286,63
MOGWO,1,350,30,38,49.5848,71.4286,63
MOGWO,1,350,30,39,49.5848,71.4286,63
MOGWO,1,350,30,40,49.5848,71.4286,63
MOGWO,1,350,30,41,49.5848,71.4286,63
MOGWO,1,350,30,42,49.5848,71.4286,63
MOGWO,1,350,30,43,49.5848,71.4286,63
MOGWO,1,350,30,44,49.5848,71.4286,63
MOGWO,1,350,30,45,49.5848,71.4286,63
MOGWO,1,350,30,46,49.5848,71.4286,63
MOGWO,1,350,30,47,49.5848,71.4286,63
MOGWO,1,350,30,48,49.5848,71.4286,63
MOGWO,1,350,30,49,49.5848,71.4286,63
MOGWO,1,350,30,50,49.5848,71.4286,63
MOGWO,1,350,30,51,49.5848,71.4286,63
MOGWO,1,350,30,52,49.5848,71.4286,63
MOGWO,1,350,30,53,49.5848,71.4286,63
MOGWO,1,350,30,54,49.5848,71.4286,63
MOGWO,1,350,30,55,49.5848,71.4286,63
MOGWO,1,350,30,56,49.5848,71.4286,63
MOGWO,1,350,30,57,49.5848,71.4286,63
MOGWO,1,350,30,58,49.5848,71.4286,63
MOGWO,1,350,30,59,49.5848,71.4286,63
MOGWO,1,350,30,60,49.5848,71.4286,63
MOGWO,1,350,30,61,49.5848,71.4286,63
MOGWO,1,350,30,62,49.5848,71.4286,63
MOGWO,1,350,30,63,49.5848,71.4286,63
MOGWO,1,350,30,64,49.5848,71.4286,63
MOGWO,1,350,30,65,49.5848,71.4286,63
MOGWO,1,350,30,66,49.5848,71.4286,63
MOGWO,1,350,30,67,49.5848,71.4286,63
MOGWO,1,350,30,68,49.5848,71.4286,63
MOGWO,1,350,30,69,49.5848,71.4286,63
MOGWO,1,350,30,70,49.5848,71.4286,63
MOGWO,1,350,30,71,49.5848,71.4286,63
MOGWO,1,350,30,72,49.5848,71.4286,63
MOGWO,1,350,30,73,49.5848,71.4286,63
MOGWO,1,350,30,74,49.5848,71.4286,63
MOGWO,1,350,30,75,49.5848,71.4286,63
MOGWO,1,350,30,76,49.5848,71.4286,63
MOGWO,1,350,30,77,49.5848,71.4286,63
MOGWO,1,350,30,78,49.5848,71.4286,63
MOGWO,1,350,30,79,49.5848,71.4286,63
MOGWO,1,350,30,80,49.5848,71.4286,63
MOGWO,1,350,30,81,49.5848,71.4286,63
MOGWO,1,350,30,82,49.5848,71.4286,63
MOGWO,1,350,30,83,49.5848,71.4286,63
MOGWO,1,350,30,84,49.5848,71.4286,63
MOGWO,1,350,30,85,49.5848,71.4286,63
MOGWO,1,350,30,86,49.5848,71.4286,63
MOGWO,1,350,30,87,49.5848,71.4286,63
MOGWO,1,350,30,88,49.5848,71.4286,63
MOGWO,1,350,30,89,49.5848,71.4286,63
MOGWO,1,350,30,90,49.5848,71.4286,63
MOGWO,1,350,30,91,49.5848,71.4286,63
MOGWO,1,350,30,92,49.5848,71.4286,63
MOGWO,1,350,30,93,49.5848,71.4286,63
MOGWO,1,350,30,94,49.5848,71.4286,63
MOGWO,1,350,30,95,49.5848,71.4286,63
MOGWO,1,350,30,96,49.5848,71.4286,63
MOGWO,1,350,30,97,49.5848,71.4286,63
MOGWO,1,350,30,98,49.5848,71.4286,63
MOGWO,1,350,30,99,49.5848,71.4286,63
MOGWO,1,350,30,100,49.5848,71.4286,63
MOGWO,1,350,30,101,49.5848,71.4286,63
MOGWO,1,350,30,102,49.5848,71.4286,63
MOGWO,1,350,30,103,49.5848,71.4286,63
MOGWO,1,350,30,104,49.5848,71.4286,63
MOGWO,1,350,30,105,49.5848,71.4286,63
MOGWO,1,350,30,106,49.5848,71.4286,63
MOGWO,1,350,30,107,49.5848,71.4286,63
MOGWO,1,350,30,108,49.5848,71.4286,63
MOGWO,1,350,30,109,49.5848,71.4286,63
MOGWO,1,350,30,110,49.5848,71.4286,63
MOGWO,1,350,30,111,49.5848,71.4286,63
MOGWO,1,350,30,112,49.5848,71.4286,63
MOGWO,1,350,30,113,49.5848,71.4286,63
MOGWO,1,350,30,114,49.5848,71.4286,63
MOGWO,1,350,30,115,49.5848,71.4286,63
MOGWO,1,350,30,116,49.5848,71.4286,63
MOGWO,1,350,30,117,49.5848,71.4286,63
MOGWO,1,350,30,118,49.5848,71.4286,63
MOGWO,1,350,30,119,49.5848,71.4286,63
MOGWO,1,350,30,120,49.5848,71.4286,63
MOGWO,1,350,30,121,49.5848,71.4286,63
MOGWO,1,350,30,122,49.5848,71.4286,63
MOGWO,1,350,30,123,49.5848,71.4286,63
MOGWO,1,350,30,124,49.5848,71.4286,63
MOGWO,1,350,30,125,49.5848,71.4286,63
MOGWO,1,350,30,126,49.5848,71.4286,63
MOGWO,1,350,30,127,49.5848,71.4286,63
MOGWO,1,350,30,128,49.5848,71.4286,63
MOGWO,1,350,30,129,49.5848,71.4286,63
MOGWO,1,350,30,130,49.5848,71.4286,63
MOGWO,1,350,30,131,49.5848,71.4286,63
MOGWO,1,350,30,132,49.5848,71.4286,63
MOGWO,1,350,30,133,49.5848,71.4286,63
MOGWO,1,350,30,134,49.5848,71.4286,63
MOGWO,1,350,30,135,49.5848,71.4286,63
MOGWO,1,350,30,136,49.5848,71.4286,63
MOGWO,1,350,30,137,49.5848,71.4286,63
MOGWO,1,350,30,138,49.5848,71.4286,63
MOGWO,1,350,30,139,49.5848,71.4286,63
MOGWO,1,350,30,140,49.5848,71.4286,63
MOGWO,1,350,30,141,49.5848,71.4286,63
MOGWO,1,350,30,142,49.5848,71.4286,63
MOGWO,1,350,30,143,49.5848,71.4286,63
MOGWO,1,350,30,144,49.5848,71.4286,63
MOGWO,1,350,30,145,49.5848,71.4286,63
MOGWO,1,350,30,146,49.5848,71.4286,63
MOGWO,1,350,30,147,49.5848,71.4286,63
MOGWO,1,350,30,148,49.5848,71.4286,63
MOGWO,1,350,30,149,49.5848,71.4286,63
MOGWO,1,350,30,150,55.1175,72.7273,66
MOGWO,1,350,30,151,55.1175,72.7273,66
MOGWO,1,350,30,152,55.1175,72.7273,66
MOGWO,1,350,30,153,55.1175,72.7273,66
MOGWO,1,350,30,154,55.1175,72.7273,66
MOGWO,1,350,30,155,55.1175,72.7273,66
MOGWO,1,350,30,156,55.1175,72.7273,66
MOGWO,1,350,30,157,55.1175,72.7273,66
MOGWO,1,350,30,158,55.1175,72.7273,66
MOGWO,1,350,30,159,55.1175,72.7273,66
MOGWO,1,350,30,160,55.1175,72.7273,66
MOGWO,1,350,30,161,55.1175,72.7273,66
MOGWO,1,350,30,162,55.1175,72.7273,66
MOGWO,1,350,30,163,55.1175,72.7273,66
MOGWO,1,350,30,164,55.1175,72.7273,66
MOGWO,1,350,30,165,55.1175,72.7273,66
MOGWO,1,350,30,166,55.1175,72.7273,66
MOGWO,1,350,30,167,55.1175,72.7273,66
MOGWO,1,350,30,168,55.1175,72.7273,66
MOGWO,1,350,30,169,55.1175,72.7273,66
MOGWO,1,350,30,170,55.1175,72.7273,66
MOGWO,1,350,30,171,55.1175,72.7273,66
MOGWO,1,350,30,172,55.1175,72.7273,66
MOGWO,1,350,30,173,55.1175,72.7273,66
MOGWO,1,350,30,174,55.1175,72.7273,66
MOGWO,1,350,30,175,55.1175,72.7273,66
MOGWO,1,350,30,176,55.1175,72.7273,66
MOGWO,1,350,30,177,55.1175,72.7273,66
MOGWO,1,350,30,178,55.1175,72.7273,66
MOGWO,1,350,30,179,55.1175,72.7273,66
MOGWO,1,350,30,180,55.1175,72.7273,66
MOGWO,1,350,30,181,55.1175,72.7273,66
MOGWO,1,350,30,182,55.1175,72.7273,66
MOGWO,1,350,30,183,55.1175,72.7273,66
MOGWO,1,350,30,184,55.1175,72.7273,66
MOGWO,1,350,30,185,55.1175,72.7273,66
MOGWO,1,350,30,186,55.1175,72.7273,66
MOGWO,1,350,30,187,55.1175,72.7273,66
MOGWO,1,350,30,188,55.1175,72.7273,66
MOGWO,1,350,30,189,55.1175,72.7273,66
MOGWO,1,350,30,190,55.1175,72.7273,66
MOGWO,1,350,30,191,55.1175,72.7273,66
MOGWO,1,350,30,192,55.1175,72.7273,66
MOGWO,1,350,30,193,55.1175,72.7273,66
MOGWO,1,350,30,194,55.1175,72.7273,66
MOGWO,1,350,30,195,55.1175,72.7273,66
MOGWO,1,350,30,196,55.1175,72.7273,66
MOGWO,1,350,30,197,55.1175,72.7273,66
MOGWO,1,350,30,198,55.1175,72.7273,66
MOGWO,1,350,30,199,55.1175,72.7273,66
MOGWO,1,350,30,200,55.1175,72.7273,66
MOGWO,1,350,30,201,55.1175,72.7273,66
MOGWO,1,350,30,202,55.1175,72.7273,66
MOGWO,1,350,30,203,55.1175,72.7273,66
MOGWO,1,350,30,204,55.1175,72.7273,66
MOGWO,1,350,30,205,55.1175,72.7273,66
MOGWO,1,350,30,206,55.1175,72.7273,66
MOGWO,1,350,30,207,55.1175,72.7273,66
MOGWO,1,350,30,208,55.1175,72.7273,66
