cfg,seed,instance,iteration,best_su,best_csr,best_placed
MOGWO,1,350,1,46.2598,55.5556,63
MOGWO,1,350,2,50.2848,56.5217,69
MOGWO,1,350,3,54.3877,59.4203,69
MOGWO,1,350,4,54.3877,59.4203,69
MOGWO,1,350,5,50.0340,66.1538,65
MOGWO,1,350,6,50.0340,66.1538,65
MOGWO,1,350,7,50.0340,66.1538,65
MOGWO,1,350,8,50.0340,66.1538,65
MOGWO,1,350,9,50.0340,66.1538,65
MOGWO,1,350,10,50.0340,66.1538,65
MOGWO,1,350,11,50.0340,66.1538,65
MOGWO,1,350,12,50.0340,66.1538,65
MOGWO,1,350,13,50.0340,66.1538,65
MOGWO,1,350,14,50.0340,66.1538,65
MOGWO,1,350,15,50.0340,66.1538,65
MOGWO,1,350,16,50.0340,66.1538,65
MOGWO,1,350,17,50.0340,66.1538,65
MOGWO,1,350,18,50.0340,66.1538,65
MOGWO,1,350,19,50.0340,66.1538,65
MOGWO,1,350,20,50.0340,66.1538,65
MOGWO,1,350,21,50.0340,66.1538,65
MOGWO,1,350,22,50.0340,66.1538,65
MOGWO,1,350,23,50.0340,66.1538,65
MOGWO,1,350,24,50.0340,66.1538,65
MOGWO,1,350,25,50.0340,66.1538,65
MOGWO,1,350,26,52.6731,67.6471,68
MOGWO,1,350,27,52.6731,67.6471,68
MOGWO,1,350,28,52.6731,67.6471,68
MOGWO,1,350,29,52.6731,67.6471,68
MOGWO,1,350,30,52.6731,67.6471,68
MOGWO,1,350,31,52.6731,67.6471,68
MOGWO,1,350,32,52.6731,67.6471,68
MOGWO,1,350,33,52.6731,67.6471,68
MOGWO,1,350,34,52.6731,67.6471,68
MOGWO,1,350,35,52.6731,67.6471,68
MOGWO,1,350,36,52.6731,67.6471,68
MOGWO,1,350,37,52.6731,67.6471,68
MOGWO,1,350,38,52.6731,67.6471,68
MOGWO,1,350,39,52.6731,67.6471,68
MOGWO,1,350,40,52.6731,67.6471,68
MOGWO,1,350,41,52.6731,67.6471,68
MOGWO,1,350,42,52.6731,67.6471,68
MOGWO,1,350,43,52.6731,67.6471,68
MOGWO,1,350,44,52.6731,67.6471,68
MOGWO,1,350,45,52.6731,67.6471,68
MOGWO,1,350,46,52.6731,67.6471,68
MOGWO,1,350,47,52.6731,67.6471,68
MOGWO,1,350,48,52.6731,67.6471,68
MOGWO,1,350,49,52.6731,67.6471,68
MOGWO,1,350,50,52.6731,67.6471,68
MOGWO,1,350,51,52.6731,67.6471,68
MOGWO,1,350,52,52.6731,67.6471,68
MOGWO,1,350,53,52.6731,67.6471,68
MOGWO,1,350,54,52.6731,67.6471,68
MOGWO,1,350,55,52.6731,67.6471,68
MOGWO,1,350,56,52.6731,67.6471,68
MOGWO,1,350,57,52.6731,67.6471,68
MOGWO,1,350,58,52.6731,67.6471,68
MOGWO,1,350,59,52.6731,67.6471,68
MOGWO,1,350,60,52.6731,67.6471,68
MOGWO,1,350,61,52.6731,67.6471,68
MOGWO,1,350,62,52.6731,67.6471,68
MOGWO,1,350,63,52.6731,67.6471,68
MOGWO,1,350,64,52.6731,67.6471,68
MOGWO,1,350,65,52.6731,67.6471,68
MOGWO,1,350,66,52.6731,67.6471,68
MOGWO,1,350,67,52.6731,67.6471,68
MOGWO,1,350,68,52.6731,67.6471,68
MOGWO,1,350,69,52.6731,67.6471,68
MOGWO,1,350,70,52.6731,67.6471,68
MOGWO,1,350,71,52.6731,67.6471,68
MOGWO,1,350,72,52.6731,67.6471,68
MOGWO,1,350,73,52.6731,67.6471,68
MOGWO,1,350,74,52.6731,67.6471,68
MOGWO,1,350,75,52.6731,67.6471,68
MOGWO,1,350,76,52.6731,67.6471,68
MOGWO,1,350,77,52.6731,67.6471,68
MOGWO,1,350,78,52.6731,67.6471,68
MOGWO,1,350,79,52.6731,67.6471,68
MOGWO,1,350,80,52.6731,67.6471,68
MOGWO,1,350,81,52.6731,67.6471,68
MOGWO,1,350,82,52.6731,67.6471,68
MOGWO,1,350,83,52.6731,67.6471,68
MOGWO,1,350,84,52.6731,67.6471,68
MOGWO,1,350,85,52.6731,67.6471,68
MOGWO,1,350,86,52.6731,67.6471,68
MOGWO,1,350,87,52.6731,67.6471,68
MOGWO,1,350,88,52.6731,67.6471,68
MOGWO,1,350,89,52.6731,67.6471,68
MOGWO,1,350,90,52.6731,67.6471,68
MOGWO,1,350,91,52.6731,67.6471,68
MOGWO,1,350,92,52.6731,67.6471,68
MOGWO,1,350,93,52.6731,67.6471,68
MOGWO,1,350,94,52.6731,67.6471,68
MOGWO,1,350,95,52.6731,67.6471,68
MOGWO,1,350,96,52.6731,67.6471,68
MOGWO,1,350,97,52.6731,67.6471,68
MOGWO,1,350,98,52.6731,67.6471,68
MOGWO,1,350,99,52.6731,67.6471,68
MOGWO,1,350,100,52.6731,67.6471,68
MOGWO,1,350,101,52.6731,67.6471,68
MOGWO,1,350,102,52.6731,67.6471,68
MOGWO,1,350,103,52.6731,67.6471,68
MOGWO,1,350,104,52.6731,67.6471,68
MOGWO,1,350,105,52.6731,67.6471,68
MOGWO,1,350,106,52.6731,67.6471,68
MOGWO,1,350,107,52.6731,67.6471,68
MOGWO,1,350,108,52.6731,67.6471,68
MOGWO,1,350,109,52.6731,67.6471,68
MOGWO,1,350,110,52.6731,67.6471,68
MOGWO,1,350,111,52.6731,67.6471,68
MOGWO,1,350,112,52.6731,67.6471,68
MOGWO,1,350,113,52.6731,67.6471,68
MOGWO,1,350,114,52.6731,67.6471,68
MOGWO,1,350,115,52.6731,67.6471,68
MOGWO,1,350,116,52.6731,67.6471,68
MOGWO,1,350,117,52.6731,67.6471,68
MOGWO,1,350,118,52.6731,67.6471,68
MOGWO,1,350,119,52.6731,67.6471,68
MOGWO,1,350,120,52.6731,67.6471,68
MOGWO,1,350,121,52.6731,67.6471,68
MOGWO,1,350,122,52.6731,67.6471,68
MOGWO,1,350,123,52.6731,67.6471,68
MOGWO,1,350,124,52.6731,67.6471,68
MOGWO,1,350,125,52.6731,67.6471,68
MOGWO,1,350,126,52.6731,67.6471,68
MOGWO,1,350,127,52.6731,67.6471,68
MOGWO,1,350,128,52.6731,67.6471,68
MOGWO,1,350,129,52.6731,67.6471,68
MOGWO,1,350,130,52.6731,67.6471,68
MOGWO,1,350,131,52.6731,67.6471,68
MOGWO,1,350,132,52.6731,67.6471,68
MOGWO,1,350,133,52.6731,67.6471,68
MOGWO,1,350,134,52.6731,67.6471,68
MOGWO,1,350,135,52.6731,67.6471,68
MOGWO,1,350,136,52.6731,67.6471,68
MOGWO,1,350,137,52.6731,67.6471,68
MOGWO,1,350,138,52.6731,67.6471,68
MOGWO,1,350,139,52.6731,67.6471,68
MOGWO,1,350,140,52.6731,67.6471,68
MOGWO,1,350,141,49.3741,68.1818,66
MOGWO,1,350,142,49.3741,68.1818,66
MOGWO,1,350,143,49.3741,68.1818,66
MOGWO,1,350,144,49.3741,68.1818,66
MOGWO,1,350,145,49.3741,68.1818,66
MOGWO,1,350,146,49.3741,68.1818,66
MOGWO,1,350,147,49.3741,68.1818,66
MOGWO,1,350,148,49.3741,68.1818,66
MOGWO,1,350,149,49.3741,68.1818,66
MOGWO,1,350,150,49.3741,68.1818,66
MOGWO,1,350,151,49.3741,68.1818,66
MOGWO,1,350,152,49.3741,68.1818,66
MOGWO,1,350,153,49.3741,68.1818,66
MOGWO,1,350,154,49.3741,68.1818,66
MOGWO,1,350,155,49.3741,68.1818,66
MOGWO,1,350,156,49.3741,68.1818,66
MOGWO,1,350,157,49.3741,68.1818,66
MOGWO,1,350,158,49.3741,68.1818,66
MOGWO,1,350,159,49.3741,68.1818,66
MOGWO,1,350,160,49.3741,68.1818,66
MOGWO,1,350,161,49.3741,68.1818,66
MOGWO,1,350,162,49.3741,68.1818,66
MOGWO,1,350,163,49.3741,68.1818,66
MOGWO,1,350,164,49.3741,68.1818,66
MOGWO,1,350,165,49.3741,68.1818,66
MOGWO,1,350,166,53.6537,69.5652,69
MOGWO,1,350,167,53.6537,69.5652,69
MOGWO,1,350,168,53.6537,69.5652,69
MOGWO,1,350,169,53.6537,69.5652,69
MOGWO,1,350,170,53.6537,69.5652,69
MOGWO,1,350,171,53.6537,69.5652,69
MOGWO,1,350,172,53.6537,69.5652,69
MOGWO,1,350,173,53.6537,69.5652,69
MOGWO,1,350,174,53.6537,69.5652,69
MOGWO,1,350,175,53.6537,69.5652,69
MOGWO,1,350,176,53.6537,69.5652,69
