cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
SEQ,1,350,30,1,58.8979,49.3827,81
SEQ,1,350,30,2,60.7190,48.0519,77
SEQ,1,350,30,3,61.9461,46.8354,79
SEQ,1,350,30,4,58.4647,53.5211,71
SEQ,1,350,30,5,64.1661,50.6173,81
SEQ,1,350,30,6,64.2142,52.3810,84
SEQ,1,350,30,7,59.9808,58.1081,74
SEQ,1,350,30,8,64.7276,53.0864,81
SEQ,1,350,30,9,65.0425,50.0000,80
SEQ,1,350,30,10,65.1849,56.9620,79
SEQ,1,350,30,11,64.9562,51.2500,80
SEQ,1,350,30,12,65.2631,49.3976,83
SEQ,1,350,30,13,64.9001,49.3827,81
SEQ,1,350,30,14,64.6757,54.1176,85
SEQ,1,350,30,15,65.0264,53.4091,88
SEQ,1,350,30,16,62.5458,50.0000,76
SEQ,1,350,30,17,62.1748,56.4103,78
SEQ,1,350,30,18,63.4962,53.9474,76
SEQ,1,350,30,19,68.3133,53.8462,91
SEQ,1,350,30,20,64.0459,52.8736,87
SEQ,1,350,30,21,67.9804,38.8889,90
SEQ,1,350,30,22,65.4154,52.2727,88
SEQ,1,350,30,23,65.1207,50.0000,84
SEQ,1,350,30,24,61.3946,56.4706,85
SEQ,1,350,30,25,64.8841,50.5618,89
SEQ,1,350,30,26,62.7363,47.4359,78
SEQ,1,350,30,27,64.4509,45.5696,79
SEQ,1,350,30,28,66.0070,48.3146,89
SEQ,1,350,30,29,66.5685,51.6854,89
SEQ,1,350,30,30,63.6386,48.0000,75
SEQ,1,350,30,31,66.5685,48.3146,89
SEQ,1,350,30,32,63.9153,49.3506,77
SEQ,1,350,30,33,65.6902,48.7500,80
SEQ,1,350,30,34,63.6707,47.6744,86
SEQ,1,350,30,35,68.9049,51.0870,92
SEQ,1,350,30,36,65.0986,46.8354,79
SEQ,1,350,30,37,67.7216,45.5556,90
SEQ,1,350,30,38,65.4456,47.1910,89
SEQ,1,350,30,39,68.2831,40.0000,90
SEQ,1,350,30,40,64.8398,46.8354,79
SEQ,1,350,30,41,63.1092,48.8372,86
SEQ,1,350,30,42,66.0632,43.1818,88
SEQ,1,350,30,43,66.7670,48.2759,87
SEQ,1,350,30,44,68.4297,43.4783,92
SEQ,1,350,30,45,65.2891,48.1481,81
SEQ,1,350,30,46,63.5745,48.7500,80
SEQ,1,350,30,47,65.1547,39.7436,78
SEQ,1,350,30,48,65.9769,43.1818,88
SEQ,1,350,30,49,67.8079,44.4444,90
SEQ,1,350,30,50,64.3085,53.7500,80
SEQ,1,350,30,51,67.8942,44.4444,90
SEQ,1,350,30,52,66.2258,53.6585,82
SEQ,1,350,30,53,69.4362,40.6593,91
SEQ,1,350,30,54,65.0524,44.1860,86
SEQ,1,350,30,55,64.0497,57.5000,80
SEQ,1,350,30,56,67.3487,47.5610,82
SEQ,1,350,30,57,65.4616,55.5556,81
SEQ,1,350,30,58,66.0231,48.1481,81
SEQ,1,350,30,59,65.2631,49.3976,83
