cfg,seed,instance,iteration,best_su,best_csr,best_placed
SEQ,5,350,1,55.4546,45.7143,70
SEQ,5,350,2,58.1638,38.2716,81
SEQ,5,350,3,60.9274,41.9753,81
SEQ,5,350,4,53.8522,47.7612,67
SEQ,5,350,5,57.4039,42.1687,83
SEQ,5,350,6,54.8289,42.6667,75
SEQ,5,350,7,59.4154,45.6790,81
SEQ,5,350,8,58.9059,38.9610,77
SEQ,5,350,9,58.7937,49.3671,79
SEQ,5,350,10,57.1653,48.7179,78
SEQ,5,350,11,55.4507,45.4545,77
SEQ,5,350,12,55.9820,52.6316,76
SEQ,5,350,13,56.9707,45.2055,73
SEQ,5,350,14,66.0070,39.3258,89
SEQ,5,350,15,58.4307,44.1558,77
SEQ,5,350,16,62.5477,38.3721,86
SEQ,5,350,17,59.2208,44.7368,76
SEQ,5,350,18,53.8823,64.7059,68
SEQ,5,350,19,60.6506,45.5696,79
SEQ,5,350,20,57.7348,45.9459,74
SEQ,5,350,21,61.7095,38.0952,84
SEQ,5,350,22,58.8620,45.4545,77
SEQ,5,350,23,58.5570,46.4286,84
SEQ,5,350,24,62.3473,37.1795,78
SEQ,5,350,25,58.9139,49.3151,73
SEQ,5,350,26,60.2876,44.1558,77
SEQ,5,350,27,59.7563,43.5897,78
SEQ,5,350,28,57.6264,47.8261,69
SEQ,5,350,29,57.4279,53.5211,71
SEQ,5,350,30,59.5617,50.6849,73
SEQ,5,350,31,59.2769,44.0000,75
SEQ,5,350,32,61.7255,46.0526,76
SEQ,5,350,33,61.9843,46.0526,76
SEQ,5,350,34,60.7449,46.6667,75
SEQ,5,350,35,61.4186,46.5753,73
SEQ,5,350,36,60.8572,43.8356,73
SEQ,5,350,37,56.0241,59.0909,66
SEQ,5,350,38,62.4435,44.0476,84
SEQ,5,350,39,58.1879,50.7246,69
SEQ,5,350,40,57.7047,53.4247,73
SEQ,5,350,41,61.3625,43.2432,74
SEQ,5,350,42,58.6372,49.2958,71
SEQ,5,350,43,62.5156,44.0000,75
SEQ,5,350,44,59.1345,52.6316,76
SEQ,5,350,45,61.7476,48.1481,81
SEQ,5,350,46,63.1374,44.1558,77
SEQ,5,350,47,62.1568,40.7895,76
SEQ,5,350,48,60.8010,51.3514,74
