arrangement                  n |     C3     C4     C5     C6    all | independent C1/C2/orient + verdict
DGWO seed=1                 95 |  87.37 100.00 100.00  71.58  61.05 | C1=100 C2=100 orient=100  AGREE
MOGWO seed=1                73 |  93.15 100.00 100.00  69.86  67.12 | C1=100 C2=100 orient=100  AGREE
REP seed=1                  53 | 100.00 100.00 100.00 100.00 100.00 | C1=100 C2=100 orient=100  AGREE
SEQ seed=1                  64 |  93.75 100.00 100.00  67.19  65.62 | C1=100 C2=100 orient=100  AGREE
DGWO seed=2                 91 |  90.11 100.00 100.00  54.95  48.35 | C1=100 C2=100 orient=100  AGREE
MOGWO seed=2                68 |  95.59 100.00 100.00  85.29  80.88 | C1=100 C2=100 orient=100  AGREE
REP seed=2                  57 | 100.00 100.00 100.00 100.00 100.00 | C1=100 C2=100 orient=100  AGREE
SEQ seed=2                  70 |  92.86 100.00 100.00  74.29  71.43 | C1=100 C2=100 orient=100  AGREE
DGWO seed=3                 93 |  88.17 100.00 100.00  61.29  55.91 | C1=100 C2=100 orient=100  AGREE
MOGWO seed=3                67 |  92.54 100.00 100.00  83.58  79.10 | C1=100 C2=100 orient=100  AGREE
REP seed=3                  53 | 100.00 100.00 100.00 100.00 100.00 | C1=100 C2=100 orient=100  AGREE
SEQ seed=3                  70 |  97.14 100.00 100.00  72.86  72.86 | C1=100 C2=100 orient=100  AGREE
DGWO seed=4                 97 |  83.51 100.00 100.00  71.13  60.82 | C1=100 C2=100 orient=100  AGREE
MOGWO seed=4                66 |  93.94 100.00 100.00  77.27  74.24 | C1=100 C2=100 orient=100  AGREE
REP seed=4                  61 | 100.00 100.00 100.00 100.00 100.00 | C1=100 C2=100 orient=100  AGREE
SEQ seed=4                  71 |  97.18 100.00 100.00  73.24  71.83 | C1=100 C2=100 orient=100  AGREE
DGWO seed=5                 84 |  90.48 100.00 100.00  76.19  71.43 | C1=100 C2=100 orient=100  AGREE
MOGWO seed=5                64 |  95.31 100.00 100.00  70.31  70.31 | C1=100 C2=100 orient=100  AGREE
REP seed=5                  58 | 100.00 100.00 100.00 100.00 100.00 | C1=100 C2=100 orient=100  AGREE
